j,x,F(x),S(x),diff_F,F'(x),S'(x),diff_F',F''(x),S''(x),diff_F''
103,0.515,1.50535,1.50528,7.39128e-05,9.35116,9.34724,0.00392227,-41.9671,-41.5692,-0.397904
104,0.52,1.55156,1.55147,8.78732e-05,9.13009,9.12854,0.00154949,-46.4446,-45.912,-0.532613
105,0.525,1.59661,1.59653,8.87623e-05,8.88691,8.88812,-0.00120866,-50.805,-50.2548,-0.550211
106,0.53,1.6404,1.64032,7.61629e-05,8.62225,8.62599,-0.00373927,-55.0375,-54.5977,-0.439806
107,0.535,1.6828,1.68275,5.2857e-05,8.33677,8.34214,-0.00537575,-59.1313,-58.9405,-0.190829
108,0.54,1.72373,1.7237,2.50904e-05,8.03119,8.03659,-0.00539954,-63.0764,-63.2833,0.206945
109,0.545,1.76308,1.76308,2.82796e-06,7.70627,7.70931,-0.00304187,-66.8628,-67.6262,0.763367
110,0.55,1.80076,1.80076,0,7.36284,7.36032,0.00251433,-70.4811,-71.969,1.4879
111,0.555,1.83668,1.83665,2.73582e-05,7.00175,6.99405,0.00770416,-73.9223,-74.5406,0.618289
112,0.56,1.87075,1.87068,7.05606e-05,6.62392,6.61492,0.0090068,-77.1777,-77.1121,-0.0655839
113,0.565,1.90289,1.90278,0.000112527,6.2303,6.22293,0.00737145,-80.2393,-79.6837,-0.555595
114,0.57,1.93303,1.93289,0.000141024,5.82187,5.81808,0.00378672,-83.0993,-82.2552,-0.8441
115,0.575,1.96109,1.96094,0.000148853,5.39965,5.40038,-0.000721782,-85.7507,-84.8268,-0.923959
116,0.58,1.98701,1.98687,0.000134032,4.96472,4.96981,-0.00509406,-88.1869,-87.3983,-0.788553
117,0.585,2.01072,2.01062,9.99574e-05,4.51815,4.52639,-0.00823837,-90.4017,-89.9699,-0.4318
118,0.59,2.03217,2.03211,5.5561e-05,4.06108,4.07011,-0.00903391,-92.3896,-92.5415,0.151827
119,0.595,2.05131,2.0513,1.54433e-05,3.59464,3.60098,-0.00633368,-94.1457,-95.113,0.967288
120,0.6,2.0681,2.0681,0,3.12002,3.11898,0.0010327,-95.6656,-97.6846,2.01896
121,0.605,2.0825,2.08248,2.55238e-05,2.63839,2.63014,0.00825175,-96.9455,-97.8544,0.908944
122,0.61,2.09448,2.0944,7.42779e-05,2.15097,2.14044,0.0105275,-97.9822,-98.0243,0.0421208
123,0.615,2.104,2.10388,0.000124597,1.65898,1.64989,0.00908263,-98.7731,-98.1941,-0.578922
124,0.62,2.11106,2.1109,0.00016096,1.16365,1.1585,0.00515123,-99.3162,-98.364,-0.952215
125,0.625,2.11564,2.11546,0.000174036,0.66623,0.666254,-2.43211e-05,-99.6103,-98.5338,-1.07641
126,0.63,2.11772,2.11756,0.000160722,0.167964,0.17316,-0.00519645,-99.6545,-98.7037,-0.950778
127,0.635,2.11732,2.11719,0.00012416,-0.329898,-0.320783,-0.00911552,-99.4488,-98.8736,-0.575218
128,0.64,2.11443,2.11435,7.37364e-05,-0.826108,-0.815575,-0.0105329,-98.9937,-99.0434,0.0497482
129,0.645,2.10906,2.10903,2.50742e-05,-1.31942,-1.31122,-0.00820423,-98.2903,-99.2133,0.922976
130,0.65,2.10124,2.10124,0,-1.8086,-1.80771,-0.000892308,-97.3404,-99.3831,2.0427
131,0.655,2.09098,2.09097,1.63506e-05,-2.29242,-2.29896,0.00653886,-96.1464,-97.1167,0.970223
132,0.66,2.07832,2.07827,5.74592e-05,-2.76966,-2.77887,0.00921182,-94.7113,-94.8502,0.138869
133,0.665,2.0633,2.0632,0.000102534,-3.23914,-3.24746,0.00832345,-93.0387,-92.5837,-0.454959
134,0.67,2.04595,2.04581,0.000136722,-3.69966,-3.70471,0.00505116,-91.1327,-90.3173,-0.81545
135,0.675,2.02632,2.02617,0.000150999,-4.15008,-4.15063,0.00054993,-88.9982,-88.0508,-0.947374
